Position,ApplicationDate,Notes,Source,JobUrl
Regular Software Engineer | Remote | Contract,2-5-2026,,"Walker Healthforce, LLC",Indeed,https://www.indeed.com/viewjob?jk=241345e334d43560&tk=1jgmabdg6h0d3801&from=jobi2a&advn=2022886443036741&adid=450470026&ad=-6NYlbfkN0DgXLuV-S6C0NooCHYZz1szndftZ5R6dKT14daUa0u_TW9rNd0XDUxtTkIWS1VgygeTmna4qqBTQspP6xmwg7x5RXGbwy7UAKWGwtQ99ELoOdjNxsMqftcU1whNKRplntkq2y1DzRPY8pQaAkRvZ1wOs63ijtwIw1nOdvk-lpuZ4Ze01Q2pe-OxD84RLK__CHCYMA_BDjQ7oGQZ540pkfC5Kus95guEdmo8g89YI8ihNIs-OOPfPDEB_5Im3rDMD77yRed6H1DQiXJz9bCiFOkxO6DsVcb3BL0WPXau2GuCrm4LnCXnzrV1lYUh6l0Z5r3VAXjNcPZZQDdyZ6QrFnQWAKwG6juI1Lonqoj41WRFZBWl1O1oC0LY4OERsbE3CVyng0rM2_iUe2mJDL9z51U6MVrbJXnsuHdKt10oCE972SgGWXv03Or80qEJSJS6QiCzNt_Gny2tEwBirsu2jq9npFMoF7lqoBOgC6370NgUJu3NKrn96ukNnYMjYiVewwpMKXeqdl9oexzGyAn7A_RfrB4DhnuSZ4LJUg55bebHB4dxaJnuaV3oKqC1VCw-oyDxH1g4CBBlf-S1XS-8meoLb4_4M9gXfIUH_S05GuOFz5Dkc6ZXvqp9&sjdu=qnhsnUirgRoVL4lHnJ2uh78dEfNeUoJoT1ZsDBFU23RehcODMUPr57FCPhIRl5vEvmaNWCAILDUQdc9OuSv1pWBwhthsEjZdN9PiMuHrQmhUY6m_2Ix1ckfQoqtkmg82&acatk=1jgn3c4fign1n804&pub=21d85ca573e478f5e659e48885c828920cace3277f6b99df&i2af=jobi2a_multijob-en-US_email&camk=UoKtGZLa3XKotLtH5DjwGQ%3D%3D&jrtk=5-cmh1-1-1jgmaapn3j91s804-241345e334d43560&xkcb=SoAu6_M3nWcibsWjrJ0KbzkdCdPP&xpse=SoAT6_I3nXO_VMS7oR0NbzkdCdPP&xfps=91715358-3c07-4a4d-9502-d4f75e28fd24
"Backend Developer - AI Integration Specialist Remote $114,400 - $135,200 a year - Contract",2-5-2026,,OtterSoft,Indeed,https://www.indeed.com/?from=jobi2a_multijob-en-US_email&tk=1jgmabdg6h0d3801&vjk=85ecf0a01f301f47
Senior Software Engineer,2-5-2026,"hybrid, devor",Copic Companies,linkedin,https://www.linkedin.com/jobs/view/4366053669/?alternateChannel=search&eBP=CwEAAAGcLkDAN0z5dE3E317qpFxzKAwOX4HAzyGHy3o2puXbsEqEYdrWhbaCj93jnqZ2kwyC31MDBeI4XrNQzKjm4YmC-IU7FXKn1p2cVqJLT8HJANrmmHNNtZ7plIjMN3iMZvIQB68moK0cxryE_0kOKEdiZyvGNGmMcgfzIjOG9IAH0L005LC_LwNIbcCmojFK45A-Enx8AyI7fTjzNRAmHmtu7gb1ep7uc0ldHkpricKcfFF96Xjl4gszACN7c83p--wN5ns_s_wgfiPknjD_4CTcny_X6jMISv649gBMNgT7vMvrULuJ4EWM2hJ1gmA8hOppnk7ZyucEEz7dUeNGftqiouE2iSaww6IfnWnI9nMBm-co9vi_xd4tsL-hjfdcgN5xHAChHuTzAlrSO-n3oUQfu5BH2gwR9OhIQ_NAww4HXLJ4xyUi0JXF2jVewCmG1g-ps7VPEfwg7Jz5qsg3au3M0gPgWPbO62S4DUFoLEPljixqteSt_z4&refId=LpxtpezbpmYqBtGOqrz%2BNQ%3D%3D&trackingId=1wxC2grJwPhbBwmjDRxIaA%3D%3D
Senior Software Engineer (Backend/.NET),2-5-2026,"OnTheClock · Macomb County, MI (Remote)",,linkedin,https://ontheclock.bamboohr.com/careers/41?source=aWQ9MTk%3D
.NET Engineer,2-5-2026,remote,"AdvanceNet Health Solutions, Inc.",linkedin,https://www.linkedin.com/jobs/search/?currentJobId=4368838740&keywords=data%20engineer&origin=BLENDED_SEARCH_RESULT_NAVIGATION_JOB_CARD&originToLandingJobPostings=4369497523%2C4369448877%2C4360582195
SQL Engineer,2-5-2026,hybrid,"Domestic & General · Louisville, TN (Hybrid)",,https://domesticandgeneral.wd3.myworkdayjobs.com/DeGCareers/job/US-Louisville/SQL-Engineer_JR101540?source=LinkedIn
Software Engineer (.NET) ,2-5-2026,remote,Kavaliro,,https://www.linkedin.com/jobs/search/?currentJobId=4369093697&keywords=data%20engineer&origin=BLENDED_SEARCH_RESULT_NAVIGATION_JOB_CARD&originToLandingJobPostings=4369497523%2C4369448877%2C4360582195
,,,,,
Sr. Software Engineer,2-6-2026,illinois,OtterBase,,https://www.linkedin.com/jobs/search/?alertAction=viewjobs&currentJobId=4369269891&distance=25&f_TPR=a1770266322-&f_WT=1%2C3%2C2&geoId=90000384&keywords=software%20engineer&origin=JOB_ALERT_IN_APP_NOTIFICATION&originToLandingJobPostings=4369269891%2C4369641462%2C4368792192%2C4369136116%2C4368697935%2C4369213104&savedSearchId=8438232274&sortBy=R
,,,,,
Senior .NET Developer,2-7-2026,remote,Brooksource,,https://www.indeed.com/viewjob?jk=0b536dda5ac3d25e&tk=1jgrf2v3lkdea801&from=jobi2a&advn=3752356117023190&adid=404961756&ad=-6NYlbfkN0BhNN3PPgKPbTMZB0Y0J5JTZS3FnMM-ugqbblX4_m-srBpqYZc5zS5vF5g72Z36lpJAdDXZygw9avaxuXFu9tNwViNaiaEDcJ_uGUCYl4WTY1tSEnvlpyCph_q6Bu8HbyESvAKjoNmW89mwYQAnaLhTEQoUCcU8wScIfTeiGbl5uL6lPiU4THe36E24P-GBFCAT6ZyfBlT1sHEFxt8leNlsryE6Z3EbiZLXk3za5oYhlfiliuzzHkjUd1u5OxnvnijRSquz1gt3zgsaoGfcfyZkldCjbccElCWOV2SrdfRBme2hfka3odEiWOeIQpAu7BlsS31VaUgkfxhxMOQ6KnUov-fvdoOzhc3mspWhYWWqfZICuaNko_xgXZHTJVyefHIdG7LNt91WeXXhYYZLnQ0FgHb2O_gefYk5kjn6J8A_JsnlWvWRkaTSlxVqEvEs-_P_Gpr0t9J7Zze50tb3tttXTwej19682xVQ0BN9deTl7wFm7n137C-A51alLbkWBPBIkIUFukMIFOyk2uNNL9ML_vJrP73yZmOdpGP-NBVUqxye72T8pXX6AWIXMUdvZ0vQZcBe1BZmHuRqWI27AGE3vsCdZEsWFMGoHBcDKq1jjw%3D%3D&pub=21d85ca573e478f5e659e48885c828920cace3277f6b99df&i2af=jobi2a_multijob-en-US_email&camk=H-lBaXMUocJ0PnoANE432g%3D%3D&jrtk=5-cmh1-1-1jgrf2kpjokh8807-0b536dda5ac3d25e&xkcb=SoDC6_M3nbWEMOWQTB0abzkdCdPP&xpse=SoDi6_I3ncDDb6yYFp0PbzkdCdPP&xfps=2a29f258-c4cb-4f16-b08b-bee17bad6ce2
